装备等阶,进阶下阶需要等级,可升级等级上限,品质,品质等级,进阶属性增量系数（基础值）,进阶属性增量系数（升级值）
id,needLv,maxLv,quality,qualityLv,baseRate,lvRate
1,5,5,0,0,0,0
2,10,10,0,1,1.5,0.5
3,15,15,0,2,3,1
4,20,20,0,3,5.5,1.5
5,23,23,1,0,7.25,1.75
6,25,25,1,1,9,2
7,28,28,1,2,11.5,2.25
8,30,30,1,3,14,2.5
9,33,33,1,4,17.5,2.75
10,35,35,1,5,21,3
11,38,38,1,6,24.7,3.25
12,40,40,1,7,28.4,3.5
13,43,43,2,0,32.15,3.75
14,45,45,2,1,35.9,4
15,48,48,2,2,39.68,4.25
16,50,50,2,3,43.46,4.5
17,53,53,2,4,47.27,4.75
18,55,55,2,5,51.07,5
19,58,58,2,6,54.9,5.25
20,60,60,2,7,58.73,5.5
21,63,63,3,0,62.58,5.75
22,65,65,3,1,66.42,6
23,68,68,3,2,70.28,6.25
24,70,70,3,3,74.13,6.5
25,73,73,3,4,78.01,6.75
26,75,75,3,5,81.88,7
27,78,78,3,6,85.76,7.25
28,80,80,3,7,89.63,7.5
29,83,83,4,0,93.52,7.75
30,85,85,4,1,97.41,8
31,88,88,4,2,101.31,8.25
32,90,90,4,3,105.2,8.5
33,93,93,4,4,109.1,8.75
34,95,95,4,5,113,9
35,98,98,4,6,116.91,9.25
36,100,100,4,7,120.82,9.5
37,102,100,5,8,124.73,9.75
38,105,100,5,9,128.64,10