唯一id,月份,签到次数,奖励道具ID,道具数量,"VIP双倍
参数：vip等级"
id,month,checkInNums,itemId,itemNums,vipLevel
1,1,1,30000,30000,1
2,1,2,30002,20
3,1,3,30005,1,2
4,1,4,20003,15
5,1,5,210001,5,3
6,1,6,30000,35000,3
7,1,7,30002,25
8,1,8,30005,1,4
9,1,9,20003,15
10,1,10,210001,5,4
11,1,11,30000,40000,5
12,1,12,30002,30
13,1,13,30005,1,6
14,1,14,20003,15
15,1,15,210001,5,7
16,1,16,30000,45000,8
17,1,17,30002,35
18,1,18,30005,1,9
19,1,19,20003,15
20,1,20,210001,8,10
21,1,21,30000,45000,10
22,1,22,30002,40
23,1,23,30005,1,11
24,1,24,20003,15
25,1,25,210001,8,12
26,1,26,30000,45000,13
27,1,27,30002,50
28,1,28,30005,1,14
29,1,29,20003,15
30,1,30,210001,10,15
31,1,31,30000,45000,15
32,2,1,30000,30000,1
33,2,2,30002,20
34,2,3,30005,1,2
35,2,4,20003,15
36,2,5,210002,5,3
37,2,6,30000,35000,3
38,2,7,30002,25
39,2,8,30005,1,4
40,2,9,20003,15
41,2,10,210002,5,4
42,2,11,30000,40000,5
43,2,12,30002,30
44,2,13,30005,1,6
45,2,14,20003,15
46,2,15,210002,5,7
47,2,16,30000,45000,8
48,2,17,30002,35
49,2,18,30005,1,9
50,2,19,20003,15
51,2,20,210002,8,10
52,2,21,30000,45000,10
53,2,22,30002,40
54,2,23,30005,1,11
55,2,24,20003,15
56,2,25,210002,8,12
57,2,26,30000,45000,13
58,2,27,30002,50
59,2,28,30005,1,14
60,3,1,30000,30000,1
61,3,2,30002,20
62,3,3,30005,1,2
63,3,4,20003,15
64,3,5,210001,5,3
65,3,6,30000,35000,3
66,3,7,30002,25
67,3,8,30005,1,4
68,3,9,20003,15
69,3,10,210001,5,4
70,3,11,30000,40000,5
71,3,12,30002,30
72,3,13,30005,1,6
73,3,14,20003,15
74,3,15,210001,5,7
75,3,16,30000,45000,8
76,3,17,30002,35
77,3,18,30005,1,9
78,3,19,20003,15
79,3,20,210001,8,10
80,3,21,30000,45000,10
81,3,22,30002,40
82,3,23,30005,1,11
83,3,24,20003,15
84,3,25,210001,8,12
85,3,26,30000,45000,13
86,3,27,30002,50
87,3,28,30005,1,14
88,3,29,20003,15
89,3,30,210001,10,15
90,3,31,30000,45000,15
91,4,1,30000,30000,1
92,4,2,30002,20
93,4,3,30005,1,2
94,4,4,20003,15
95,4,5,210002,5,3
96,4,6,30000,35000,3
97,4,7,30002,25
98,4,8,30005,1,4
99,4,9,20003,15
100,4,10,210002,5,4
101,4,11,30000,40000,5
102,4,12,30002,30
103,4,13,30005,1,6
104,4,14,20003,15
105,4,15,210002,5,7
106,4,16,30000,45000,8
107,4,17,30002,35
108,4,18,30005,1,9
109,4,19,20003,15
110,4,20,210002,8,10
111,4,21,30000,45000,10
112,4,22,30002,40
113,4,23,30005,1,11
114,4,24,20003,15
115,4,25,210002,8,12
116,4,26,30000,45000,13
117,4,27,30002,50
118,4,28,30005,1,14
119,4,29,20003,15
120,4,30,210002,10,15
121,5,1,30000,30000,1
122,5,2,30002,20
123,5,3,30005,1,2
124,5,4,20003,15
125,5,5,210001,5,3
126,5,6,30000,35000,3
127,5,7,30002,25
128,5,8,30005,1,4
129,5,9,20003,15
130,5,10,210001,5,4
131,5,11,30000,40000,5
132,5,12,30002,30
133,5,13,30005,1,6
134,5,14,20003,15
135,5,15,210001,5,7
136,5,16,30000,45000,8
137,5,17,30002,35
138,5,18,30005,1,9
139,5,19,20003,15
140,5,20,210001,8,10
141,5,21,30000,45000,10
142,5,22,30002,40
143,5,23,30005,1,11
144,5,24,20003,15
145,5,25,210001,8,12
146,5,26,30000,45000,13
147,5,27,30002,50
148,5,28,30005,1,14
149,5,29,20003,15
150,5,30,210001,10,15
151,5,31,30000,45000,15
152,6,1,30000,30000,1
153,6,2,30002,20
154,6,3,30005,1,2
155,6,4,20003,15
156,6,5,210002,5,3
157,6,6,30000,35000,3
158,6,7,30002,25
159,6,8,30005,1,4
160,6,9,20003,15
161,6,10,210002,5,4
162,6,11,30000,40000,5
163,6,12,30002,30
164,6,13,30005,1,6
165,6,14,20003,15
166,6,15,210002,5,7
167,6,16,30000,45000,8
168,6,17,30002,35
169,6,18,30005,1,9
170,6,19,20003,15
171,6,20,210002,8,10
172,6,21,30000,45000,10
173,6,22,30002,40
174,6,23,30005,1,11
175,6,24,20003,15
176,6,25,210002,8,12
177,6,26,30000,45000,13
178,6,27,30002,50
179,6,28,30005,1,14
180,6,29,20003,15
181,6,30,210002,10,15
182,7,1,30000,30000,1
183,7,2,30002,20
184,7,3,30005,1,2
185,7,4,20003,15
186,7,5,210001,5,3
187,7,6,30000,35000,3
188,7,7,30002,25
189,7,8,30005,1,4
190,7,9,20003,15
191,7,10,210001,5,4
192,7,11,30000,40000,5
193,7,12,30002,30
194,7,13,30005,1,6
195,7,14,20003,15
196,7,15,210001,5,7
197,7,16,30000,45000,8
198,7,17,30002,35
199,7,18,30005,1,9
200,7,19,20003,15
201,7,20,210001,8,10
202,7,21,30000,45000,10
203,7,22,30002,40
204,7,23,30005,1,11
205,7,24,20003,15
206,7,25,210001,8,12
207,7,26,30000,45000,13
208,7,27,30002,50
209,7,28,30005,1,14
210,7,29,20003,15
211,7,30,210001,10,15
212,7,31,30000,45000,15
213,8,1,30000,30000,1
214,8,2,30002,20
215,8,3,30005,1,2
216,8,4,20003,15
217,8,5,210002,5,3
218,8,6,30000,35000,3
219,8,7,30002,25
220,8,8,30005,1,4
221,8,9,20003,15
222,8,10,210002,5,4
223,8,11,30000,40000,5
224,8,12,30002,30
225,8,13,30005,1,6
226,8,14,20003,15
227,8,15,210002,5,7
228,8,16,30000,45000,8
229,8,17,30002,35
230,8,18,30005,1,9
231,8,19,20003,15
232,8,20,210002,8,10
233,8,21,30000,45000,10
234,8,22,30002,40
235,8,23,30005,1,11
236,8,24,20003,15
237,8,25,210002,8,12
238,8,26,30000,45000,13
239,8,27,30002,50
240,8,28,30005,1,14
241,8,29,20003,15
242,8,30,210002,10,15
243,8,31,30000,45000,15
244,9,1,30000,30000,1
245,9,2,30002,20
246,9,3,30005,1,2
247,9,4,20003,15
248,9,5,210001,5,3
249,9,6,30000,35000,3
250,9,7,30002,25
251,9,8,30005,1,4
252,9,9,20003,15
253,9,10,210001,5,4
254,9,11,30000,40000,5
255,9,12,30002,30
256,9,13,30005,1,6
257,9,14,20003,15
258,9,15,210001,5,7
259,9,16,30000,45000,8
260,9,17,30002,35
261,9,18,30005,1,9
262,9,19,20003,15
263,9,20,210001,8,10
264,9,21,30000,45000,10
265,9,22,30002,40
266,9,23,30005,1,11
267,9,24,20003,15
268,9,25,210001,8,12
269,9,26,30000,45000,13
270,9,27,30002,50
271,9,28,30005,1,14
272,9,29,20003,15
273,9,30,210001,10,15
274,10,1,30000,30000,1
275,10,2,30002,20
276,10,3,30005,1,2
277,10,4,20003,15
278,10,5,210002,5,3
279,10,6,30000,35000,3
280,10,7,30002,25
281,10,8,30005,1,4
282,10,9,20003,15
283,10,10,210002,5,4
284,10,11,30000,40000,5
285,10,12,30002,30
286,10,13,30005,1,6
287,10,14,20003,15
288,10,15,210002,5,7
289,10,16,30000,45000,8
290,10,17,30002,35
291,10,18,30005,1,9
292,10,19,20003,15
293,10,20,210002,8,10
294,10,21,30000,45000,10
295,10,22,30002,40
296,10,23,30005,1,11
297,10,24,20003,15
298,10,25,210002,8,12
299,10,26,30000,45000,13
300,10,27,30002,50
301,10,28,30005,1,14
302,10,29,20003,15
303,10,30,210002,10,15
304,10,31,30000,45000,15
305,11,1,30000,30000,1
306,11,2,30002,20
307,11,3,30005,1,2
308,11,4,20003,15
309,11,5,210001,5,3
310,11,6,30000,35000,3
311,11,7,30002,25
312,11,8,30005,1,4
313,11,9,20003,15
314,11,10,210001,5,4
315,11,11,30000,40000,5
316,11,12,30002,30
317,11,13,30005,1,6
318,11,14,20003,15
319,11,15,210001,5,7
320,11,16,30000,45000,8
321,11,17,30002,35
322,11,18,30005,1,9
323,11,19,20003,15
324,11,20,210001,8,10
325,11,21,30000,45000,10
326,11,22,30002,40
327,11,23,30005,1,11
328,11,24,20003,15
329,11,25,210001,8,12
330,11,26,30000,45000,13
331,11,27,30002,50
332,11,28,30005,1,14
333,11,29,20003,15
334,11,30,210001,10,15
335,12,1,30000,30000,1
336,12,2,30002,20
337,12,3,30005,1,2
338,12,4,20003,15
339,12,5,210002,5,3
340,12,6,30000,35000,3
341,12,7,30002,25
342,12,8,30005,1,4
343,12,9,20003,15
344,12,10,210002,5,4
345,12,11,30000,40000,5
346,12,12,30002,30
347,12,13,30005,1,6
348,12,14,20003,15
349,12,15,210002,5,7
350,12,16,30000,45000,8
351,12,17,30002,35
352,12,18,30005,1,9
353,12,19,20003,15
354,12,20,210002,8,10
355,12,21,30000,45000,10
356,12,22,30002,40
357,12,23,30005,1,11
358,12,24,20003,15
359,12,25,210002,8,12
360,12,26,30000,45000,13
361,12,27,30002,50
362,12,28,30005,1,14
363,12,29,20003,15
364,12,30,210002,10,15
365,12,31,30000,45000,15